Categoría,Línea,Código,Producto,Precio venta Brillan’tico
Pisos y superficies,ABRILLANTADOR DE CERAMI,233,Abrillantador de Ceramica (1/2 galón),1529.83
Pisos y superficies,ABRILLANTADOR DE CERAMI,439,Abrillantador de Ceramica (1/2 Pichinga),6397.63
Pisos y superficies,ABRILLANTADOR DE CERAMI,282,Abrillantador de Ceramica (Galón),2222.04
Pisos y superficies,ABRILLANTADOR DE CERAMI,189,Abrillantador de Ceramica (Litro),1164.08
Pisos y superficies,ABRILLANTADOR DE CERAMI,94,Abrillantador de Ceramica (relleno por kilos),451.18
Superficies,Abrillantador Para Llantas,383,Abrillantador Llantas Gel (1/2 Galón),4961.23
Superficies,Abrillantador Para Llantas,385,Abrillantador Llantas Gel (1/2 Pichinga),23614.48
Superficies,Abrillantador Para Llantas,372,Abrillantador Llantas Gel (250 ml bolsita),1057.68
Superficies,Abrillantador Para Llantas,364,Abrillantador Llantas Gel (250 ml botella c/ tapa),1330.33
Superficies,Abrillantador Para Llantas,256,Abrillantador Llantas Gel (500 ml bolsita),1543.13
Superficies,Abrillantador Para Llantas,195,Abrillantador Llantas Gel (Galón),9110.83
Superficies,Abrillantador Para Llantas,378,Abrillantador Llantas Gel (Litro c/ tapa Flip Top),2986.18
Superficies,Abrillantador Para Llantas,468,Abrillantador Llantas Gel (Relleno por kilo),2274.65
Superficies,Abrillantador Para Llantas,21,Abrillantador Llantas Normal (1/2 galón),4503.93
Superficies,Abrillantador Para Llantas,1,Abrillantador Llantas Normal (1/2 Pichinga),21283.79
Superficies,Abrillantador Para Llantas,451,Abrillantador Llantas Normal (250 ml bolsita),991.18
Superficies,Abrillantador Para Llantas,335,Abrillantador Llantas Normal (500 ml bolsita),1410.13
Superficies,Abrillantador Para Llantas,19,Abrillantador Llantas Normal (Galón),8189.28
Superficies,Abrillantador Para Llantas,20,Abrillantador Llantas Normal (Litro con Trigger),3072.63
Superficies,Abrillantador Para Llantas,50,Abrillantador Llantas Normal (Relleno por kilos),1663.79
Superficies,Abrillantador Para Llantas,18,Abrillantador Llantas Normal Flip Top (250 ml),1330.33
Superficies,Abrillantador Para Llantas,413,Abrillantador Llantas Normal Trigger (250 ml),1416.78
Superficies,Abrillantador Para Llantas,17,Abrillantador Llantas Supra (240 ml c/tapa Flip Top),3325.33
Superficies,Abrillantador Para Llantas,471,Abrillantador Llantas Supra (Galón),31521.33
Superficies,Abrillantador Para Llantas,470,Abrillantador Llantas Supra (Litro c/tapa Flip Top),8911.33
Superficies,Abrillantador Para Llantas,22,Abrillantador Llantas Supra (Relleno por kilos),8333.77
Pisos y superficies,ABRILLANTADOR PARA PISOS,26,Abrillantador Pisos (1/2 galón),1696.08
Pisos y superficies,ABRILLANTADOR PARA PISOS,279,Abrillantador Pisos (1/2 Pichinga),7295.38
Pisos y superficies,ABRILLANTADOR PARA PISOS,27,Abrillantador Pisos (Galón),2573.88
Pisos y superficies,ABRILLANTADOR PARA PISOS,29,Abrillantador Pisos (Litro),1257.18
Pisos y superficies,ABRILLANTADOR PARA PISOS,355,Abrillantador Pisos (relleno por kilos),552.73
Higiene y desinfección,ALCOHOL LIQUIDO 70%,438,Alcohol Líquido (Galón),10267.60
Higiene y desinfección,ALCOHOL LIQUIDO 70%,475,Alcohol líquido 240ML,1529.83
Higiene y desinfección,ALCOHOL LIQUIDO 70%,926,Alcohol líquido litro,3265.15
Higiene y desinfección,ALCOHOL MENTOLADO,925,Alcohol Mentolado (1/2 GALÓN),4335.81
